script,year,character,gender,line
Haider,,Haider,male,- Hilaal displays a ten-rupee note to a sheepish young Haider.
Haider,,Haider,male,"He urges Haider on to ﬁnish the poem, the boy thinks hard."
Haider,,Ghazala,female,"a photo of Hilaal, Ghazala and Haider."
Haider,,Haider,male,Haider is crying in Arshia’s arms. She comforts him. He
Haider,,Haider,male,Haider and Arshia still in each other’s arms.
Haider,,Haider,male,Liyaqat angrily walks up to them and pushes Haider hard;
Haider,,Haider,male,"Before he can ﬁnish his sentence, Haider pushes him back."
Haider,,Haider,male,towards Haider like an animal. Arshia comes in the middle.
Haider,,Haider,male,Liyaqat looks at Haider and then Arshia. A beat. He
Haider,,Haider,male,Alright… but you have to stop seeing Haider.
Haider,,Haider,male,with Haider… but you can't be in love with him..
Haider,,Haider,male,the corridor. A face Haider recognizes and knows well. The
Haider,,Ghazala,female,Ghazala shakes her head to say no. Khurram presses her
Haider,,Ghazala,female,Ghazala picks up her cup and starts to sing while blowing
Haider,,Ghazala,female,sweetness of the local folk dance. Ghazala is amused and
Haider,,Ghazala,female,"Ghazala casually turns with a smile, still humming. She stops,"
Haider,,Haider,male,seeing Haider. She suddenly becomes pale and whispers to
Haider,,Haider,male,to see Haider standing behind. He gets up trying to gather
Haider,,Ghazala,female,past him towards his mother. A beat. Ghazala tries to behave
Haider,,Ghazala,female,keeps looking at her silently. Ghazala pats her forehead.
Haider,,Haider,male,Haider is silent. Her voice starts to shake.
Haider,,Ghazala,female,Haider whispers to Ghazala who still holds her.
Haider,,Haider,male,Haider raises his voice a bit.
Haider,,Ghazala,female,Ghazala suddenly slaps him hard. A beat. Haider turns and
Haider,,Ghazala,female,walks out towards the exit. Ghazala follows.
Haider,,Haider,male,I am sorry… Haider… esjh ckr lqu
Haider,,Haider,male,Haider... I will explain everything to you...
Haider,,Haider,male,Haider opens the main door and walks out.
Haider,,Haider,male,Haider... Come back... It is time for curfew now.
Haider,,Salman Khan,male,"same song play, in which Salman Khan, sporting a mullet"
Haider,,Salman,male,Hello! Who do you want to speak to? Salman?
Haider,,Salman 2,male,"He passes the receiver to Salman 2, who’s still dancing."
Haider,,Salman,male,As the song on TV reaches its crescendo. Salman 1 takes the
Haider,,Salman,male,Salmans vigorously tear off their vests as does the Salman
Haider,,Salman,male,Who am I? I am Salman. The person you spoke
Haider,,Salman,male,to earlier was also Salman. And will you take the
Haider,,Salman 2,male,Salman 2 snatches the receiver from him.
Haider,,Haider Meer,male,"Hello sir... Sorry sir. Haider Meer. Yes, I know him"
Haider,,Haider,male,sticking out of the vehicle calls out to Haider.
Haider,,Haider,male,Haider pulls out his ID from his wallet as he spreads his
Haider,,Haider,male,on a motorcycle. They see Haider being frisked and ride up
Haider,,Salman 2,male,Salman 2 gets off the bike and puts his hand over Haider’s
Haider,,Haider,male,Haider... How are you? When did you get back?
Haider,,Haider,male,The jawan returns the ID card to Haider.
Haider,,Salman,male,Salman grabs Haider and takes him towards the bike. Haider
Haider,,Salman Khan,male,Salman Khan ﬁlm. The room is full of smoke of a Kashmiri
Haider,,Haider,male,"Haider smokes, exhales hard, seems to choke, then smokes"
Haider,,Salman 2,male,Salman 2 shakes his head in agreement as Haider hits ‘play’
Haider,,Mehdi Hassan’s ‘Gulon,male,on a cassette player on the side. Mehdi Hassan’s ‘Gulon mei
Haider,,Ghazala,female,A cold autumn morning. Ghazala stands in the balcony
Haider,,Ghazala,female,Ghazala opens the newspaper. The headline on the front
Haider,,Ghazala,female,Ghazala scratches the back of her palm with her ﬁngernail.
Haider,,Ghazala,female,Ghazala turns around and cuts him in the middle.
Haider,,Haider,male,Haider takes out some photocopied papers from his bag.
Haider,,Haider,male,"Haider is shocked, he angrily gets up and storms out."
Haider,,Haider,male,"Haider looks away. Khurram turns his face around, gently"
Haider,,Haider,male,Haider is at a shop with a photograph of Hilaal. It’s the one
Haider,,Haider,male,"photographs, he is stone-faced. Haider is last in line. The"
Haider,,Haider,male,Haider stares at the photograph. An old woman sitting
Haider,,Haider,male,in a bunker order him to stop. Haider is cold and doesn’t
Haider,,Haider,male,"pointed, alarmed.  Haider raises his arms as he is pinned to"
Haider,,Haider,male,A distraught Haider and Arshia sit on the banks of a lake.
Haider,,Haider,male,Two men push a long wooden boat into the river. Haider is
Haider,,Haider,male,Haider pins up a photo of Hilaal on the wall.
Haider,,Haider,male,"the dark bedroom. Haider watches it silently, Arshia sitting"
Haider,,Haider,male,An irritated look on Haider’s face.
Haider,,Ghazala,female,"Ghazala lies on the bed, her eyes closed. A knock on the"
Haider,,Ghazala,female,Ghazala smiles through her dry lips.
Haider,,Haider,male,The door opens. Khurram bows and steps aside. Haider
Haider,,Ghazala,female,Ghazala stops eating and looks at him.
Haider,,Ghazala,female,Ghazala is in Haider’s room cleaning up. She gathers some
Haider,,Haider,male,"Haider, age sixteen, being scolded by Ghazala who is"
Haider,,Haider,male,She slaps him hard. Haider is fuming. She holds him by his
Haider,,Ghazala,female,Ghazala is shocked. Tears form in her eyes as Haider leaves
Haider,,Haider,male,Haider is quiet. She unties the scarf from her head and puts
Haider,,Ghazala,female,He suddenly runs out of the house. Ghazala sees him running
Haider,,Ghazala,female,Ghazala rings the bell at the same bungalow which we have
Haider,,Hussain Meer,male,which reads as ‘Dr Hussain Meer’.
Haider,,Khurram,male,A young Khurram opens the door. Tears are still rolling off
Haider,,Ghazala,female,"The gun is unwrapped from Ghazala’s scarf by an old man,"
Haider,,Ghazala,female,Ghazala’s father-in-law Dr Hussain Meer. Ghazala is seated
Haider,,Ghazala,female,Khurram turns and gives the cup to Ghazala.
Haider,,Khurram,male,"And why is that, Mister Khurram?"
Haider,,Hussain,male,Dr Hussain enters the room and looks at Ikhlaakh and
Haider,,Zahoor,male,Commander Zahoor… Good thing I ran in to
Haider,,Haider,male,A young Haider screams as Ghazala and Hilaal look on.
Haider,,Ghazala,female,He looks at Ghazala and whispers.
Haider,,Ghazala,female,Haider storms out of the house. Ghazala looks at Hilaal.
Haider,,Haider,male,A game of cricket at the village square between Haider
Haider,,Haider,male,Haider and faces him. She takes out a pistol from inside
Haider,,Haider,male,bag. Haider is stunned. She puts it on her temple.
Haider,,Ghazala,female,Ghazala screams aloud as tears roll off her cheeks.
Haider,,Ghazala,female,"Ghazala and Haider walk amongst fallen chinar leaves,"
Haider,,Zahoor,male,We see Zahoor delivering a ﬁery speech to a small gathering
Haider,,Ghazala,female,Ghazala is watching news on Doordarshan. A newsreader
Haider,,Salman,male,Salman and Salman break out into a huge cheer. Khurram is
Haider,,Ghazala,female,"Khurram and Ghazala sit on a sofa, amongst other"
Haider,,Ghazala,female,Ghazala beams with happiness and keeps looking stealthily
Haider,,Haider,male,But I do... A message for Haider from his father.
Haider,,Haider,male,A message for Haider shall be delivered
Haider,,Haider,male,"they vanish into thin air?’ Haider is amongst the crowd, he"
Haider,,Haider,male,"Haider looks at her but keeps shouting the slogan,"
Haider,,Salman,male,aggressively. Salman and Salman look on curiously.
Haider,,Haider,male,Haider suddenly stops and looks at Arshia. Salman &
Haider,,Salman,male,Salman get even more curious and alarmed.
Haider,,Haider,male,"Inside the booth, Haider dials the number. The phone rings"
Haider,,Haider,male,Haider looks at Arshia. A beat.
Haider,,Haider,male,"gesturing to be followed. Haider opens the door of the car,"
Haider,,Salman,male,clicked. We see Salman and Salman at a distance taking
Haider,,Haider,male,Haider gets down and crosses the bridge as Arshia watches
Haider,,Haider,male,Roohdaar marches forward closely followed by Haider.
Haider,,Salman,male,"Salman and Salman follow Haider, keeping a safe distance."
Haider,,Salman,male,Salman and Salman see a few young militants with guns
Haider,,Salman,male,Salman and Salman walk faster to catch up. Suddenly
Haider,,Salman 2,male,Salman 2 hears a song coming out of a TV screen from
Haider,,Salman Khan,male,song is from a Salman Khan ﬁlm - ‘Kabootar ja ja ja’. The
Haider,,Haider,male,"Following Roohdaar, Haider goes deeper into the labyrinth"
Haider,,Haider,male,"of lanes. As Haider turns a corner, two young men suddenly"
Haider,,Haider,male,the daylight hits his eyes. Roohdaar sits facing Haider. An
Haider,,Haider,male,Haider stops. Tears start rolling off his cheeks. Roohdaar
Haider,,Faiz Ahmed Faiz,male,windowpanes. A faint voice softly sings a Faiz Ahmed Faiz
Haider,,Khurram,male,It was Khurram who betrayed your father. The
Haider,,Ghazala,female,chance. And Ghazala had informed Khurram.
Haider,,Ghazala,female,Ghazala deceived your father and Khurram
Haider,,Faiz,male,Hilaal hums a Faiz poem softly as Roohdaar listens with his
Haider,,Haider,male,"To my son, Haider. Tell him to avenge my betrayal"
Haider,,Haider,male,They sit on the terrace. Roohdaar speaks as Haider sits
Haider,,Haider,male,A beat. Zahoor comes to Haider and caresses his hair
Haider,,Haider,male,Haider is still. No sign of any emotion in his eyes.
Haider,,Haider,male,Haider looks at the pistol blankly.
Haider,,Haider,male,"wooden shrine, painted green. Haider lies in an inner area"
Haider,,Haider,male,Haider stands in front of the numbered graveyard.
Haider,,Haider,male,Haider stands looking down at the silent ﬂowing water.
Haider,,Ghazala,female,Ghazala wakes up with a start. Morning sunlight is coming
Haider,,Ghazala,female,Ghazala listens to a bell ringing on the receiver of a telephone.
Haider,,Ghazala,female,Ghazala turns to look at him.
Haider,,Salman,male,photographs of Haider at Downtown bridge. Salman
Haider,,Salman,male,and Salman on either side of the table. A back shot of
Haider,,Salman,male,meet with Parvez’s. A beat. Salman brings out an electronic
Haider,,Haider,male,Parvez turns to Khurram and points at Haider in the
Haider,,Haider,male,We can get to him via Haider…
Haider,,Haider,male,We’ll have to watch out for Haider... Together.
Haider,,Ghazala,female,Ghazala ties a thread and prays. She takes the maulvi’s
Haider,,Ghazala,female,Khurram and Ghazala travel in the car. She looks out of
Haider,,Ghazala,female,It takes Khurram a moment to recognize him. Ghazala also
Haider,,Haider,male,comes out. She is shocked to see Haider in this new avatar.
Haider,,Ghazala,female,starts jumping. Tears are streaming off Ghazala’s eyes. She
Haider,,Haider,male,"Khurram moves ahead towards Haider, followed by his"
Haider,,Haider,male,Haider turns back to see Khurram surrounded by
Haider,,Haider,male,Haider stops and looks at him.
Haider,,Haider,male,Haider comes to the car and stands in front of the window.
Haider,,Ghazala,female,"Ghazala looks at him, her face drowned in tears."
Haider,,Haider,male,Haider raises his eyebrows to tease them.
Haider,,Haider,male,"Faraway, Haider, still dressed in the same suit, plays cricket"
Haider,,Haider,male,Khurram opens the ﬁle on a small table as Haider looks on.
Haider,,Haider,male,"He picks a photograph and holds it for Haider. It’s Roohdaar,"
Haider,,Haider,male,looking totally different. Haider is shocked.
Haider,,Haider,male,"to Haider, she looks quite angry."
Haider,,Haider,male,"Haider is quiet, still lost in Khurram’s episode. She shakes"
Haider,,Haider,male,Haider looks at her and smiles weakly.
Haider,,Ghazala,female,"along with the priest, while Ghazala counts chickpeas in"
Haider,,Haider,male,an earthen pot full of water. Arshia sits with Haider at the
Haider,,Haider,male,law live a widow’s life... and my dearest Haider
Haider,,Salman,male,Salman and Salman take the cue and whispers loudly and
Haider,,Ghazala,female,Ghazala has a timid smile on her face. Haider's jaws tighten
Haider,,Haider,male,Khurram looks at Haider and smiles. Haider’s eyes display
Haider,,Ghazala,female,hatred and hurt. Khurram’s smile fades out. Ghazala follows
Haider,,Haider,male,to see him so cheerful. Haider notices her while dancing. He
Haider,,Salman,male,He grabs her hand and runs deeper into the village. Salman
Haider,,Salman,male,and Salman follow them. A chase begins - Haider manages
Haider,,Haider,male,"the claustrophobic conﬁnes of the hollow tree, Haider and"
Haider,,Haider,male,Promise me… Haider... You will do no such thing.
Haider,,Haider,male,Haider looks away. She puts his hand over her head.
Haider,,Haider,male,"arms, Haider walks up to him and hugs him tight."
Haider,,Ghazala,female,Haider reaches Ghazala’s room. She looks beautiful in a
Haider,,Ghazala,female,bride’s attire. Ghazala looks at him in the mirror. She turns
Haider,,Haider,male,She pulls herself back to look at him and laughs. Haider
Haider,,Ghazala,female,Ghazala’s smile fades out. Haider suddenly laughs.
Haider,,Ghazala,female,Khurram looks at Ghazala who is sitting with a few women
Haider,,Haider,male,Haider hides his pistol inside the ﬂush tank.
Haider,,Ghazala,female,Khurram Hussain Meer... do you accept Ghazala
Haider,,Ghazala Akhtar,female,Ghazala Akhtar... Do you accept Khurram Hussain
Haider,,Haider,male,Ghazala keeps looking down. Haider looks at her while
Haider,,Ghazala,female,standing at the door. On his face we hear Ghazala’s voice.
Haider,,Ghazala,female,Guests congratulate Ghazala and Khurram who sit at the
Haider,,Haider,male,"narrator, a masked Haider, begins the play. The players -"
Haider,,Ghazala,female,"Ghazala and Khurram are visibly disturbed. Khurram,"
Haider,,Haider,male,dance move Haider kneels before Khurram to end the
Haider,,Haider,male,Khurram claps gently. He inches closer towards Haider and
Haider,,Haider,male,"Haider is silent. Khurram pulls down his mask, to reveal his"
Haider,,Zahoor Hussain,male,Who wrote this play? Zahoor Hussain?  Or was it
Haider,,Haider,male,"Haider is shocked, his eyes dart towards Arshia who is"
Haider,,Haider,male,Haider is seething with anger. Khurram looks at Parvez and
Haider,,Ghazala,female,nods. Parvez nods to a policeman in turn. Ghazala looks at
Haider,,Haider,male,Haider looks at the policeman walking towards him. He
Haider,,Salman,male,Salman and Salman appear from nowhere. One of them hits
Haider,,Haider,male,him hard on the back of his head with a wooden log. Haider
Haider,,Ghazala,female,"an injection on his arm. Ghazala sits next to him, silently"
Haider,,Ghazala,female,Khurram sits next to Ghazala who still brushes Haider’s
Haider,,Ghazala,female,Ghazala. He looks at Haider sleeping like a baby.
Haider,,Haider,male,don’t care if Haider has to die.
Haider,,Ghazala,female,Haider sleeps on the bed. Ghazala sleeps next to him on a
Haider,,Haider,male,next to Haider and slowly takes Ghazala’s hand off his chest
Haider,,Ghazala,female,Ghazala slowly wakes up. Hilaal looks at her expressionless.
Haider,,Haider,male,She is shocked. Hilaal looks back at the sleeping Haider and
Haider,,Ghazala,female,"comes out and looks at Ghazala, she is still asleep."
Haider,,Haider,male,"prayer, his back towards Haider. Khurram murmurs the"
Haider,,Salman,male,"Parvez drives up at the house, followed by Salman and"
Haider,,Salman,male,"Salman in a jeep. The guards salute Parvez, as he steps out"
Haider,,Haider,male,"Haider is now right behind him, his hand trembles as he raises"
Haider,,Haider,male,ﬂinch an inch. Haider’s ﬁnger is on the trigger.
Haider,,Salman,male,Haider comes out of the prayer room to face Salman and
Haider,,Salman,male,Salman along with Parvez standing at the door.
Haider,,Salman,male,"Parvez lunges at him, Haider’s pistol ﬂies away. Salman and"
Haider,,Ghazala,female,Ghazala comes out hearing the commotion. Khurram walks
Haider,,Salman,male,out still wearing his prayer cap. Salman and Salman hold
Haider,,Haider,male,a fuming Haider. Parvez ties Haider’s hands with his red
Haider,,Haider,male,"Khurram looks at Haider, who smiles."
Haider,,Haider,male,Haider... you have really gone insane!
Haider,,Salman,male,"Khurram nods, Salman and Salman drag him out as he"
Haider,,Ghazala,female,Ghazala cries as Khurram hugs her.
Haider,,Salman,male,"Salman and Salman escort Haider to the jeep, his hands tied"
Haider,,Haider,male,Haider as Salman 1 locks the back. Salman 2 starts the jeep.
Haider,,Salman 1,male,"Parvez comes to the window and hands Salman 1, Haider’s"
Haider,,Salman,male,"Salman nods, the jeep drives away as Ghazala cries at the"
Haider,,Salman,male,The jeep travels on a bumpy barren terrain. Salman and
Haider,,Salman,male,Salman sing along to a hit Salman Khan song blaring on the
Haider,,Haider,male,on their laps while Haider is seated on the opposite side.
Haider,,Salman,male,"The road gets bumpier, Salman tries to control the vehicle."
Haider,,Haider,male,Haider seizes the moment and pounces onto the guards. A
Haider,,Haider,male,"guard falls over losing his grip on his gun, Haider grabs it,"
Haider,,Salman,male,the back from the front. Salman completely loses control of
Haider,,Salman,male,out due to the collision. Salman and Salman take a peek
Haider,,Haider,male,"behind to see Haider lie unconscious, they quickly get out"
Haider,,Salman,male,and head back to unlock the door. Salman 1 unlocks the
Haider,,Salman,male,"open pushing Salman 1 back. He bangs into Salman 2, his"
Haider,,Haider,male,mufﬂer. He suddenly butts his head on his nose. Haider falls
Haider,,Haider,male,Haider lunges for the pistol lying nearby. Both the Salmans
Haider,,Haider,male,"Haider aims and ﬁres, missing both of them, he ﬁres a"
Haider,,Salman,male,from the back of his head. Salman 2 turns to him. Another
Haider,,Haider,male,to see Haider running towards him with a few rocks in his
Haider,,Salman,male,hands. Salman 2 runs. Salman 1 tries to get up but another
Haider,,Haider,male,stone hits him hard. He falls again. Haider aims another
Haider,,Haider,male,throw Haider is more violent and ﬁerce.
Haider,,Salman 2,male,Teary-eyed Salman 2 drags himself over to Salman 1’s body.
Haider,,Salman,male,"He shakes Salman’s lifeless body violently, his own face full"
Haider,,Salman,male,of blood. Haider catches up behind them. Salman cries for
Haider,,Haider,male,"Haider, hiding his face behind Parvez’s mufﬂer, speaks into"
Haider,,Haider,male,Haider puts the receiver back and moves to go out but stops.
Haider,,Ghazala,female,The telephone rings loudly. Ghazala picks up the receiver.
Haider,,Haider,male,Hello Haider... Where are you? Have you reached
Haider,,Haider,male,We hear Haider’s choking voice at the other end.
Haider,,Ghazala,female,His words fall on Ghazala like a rock. She breaks down.
Haider,,Haider,male,"She cries as Haider takes the speaker off his ear, closes his"
Haider,,Haider,male,Haider is quiet. Ghazala’s voice is almost choked.
Haider,,Haider,male,She cries as Haider listens silently.
Haider,,Ghazala,female,An autorickshaw stops in front of the burnt house. Ghazala
Haider,,Ghazala,female,"Ghazala enters the house, her feet crushing the debris of the"
Haider,,Haider,male,She turns to see Haider walking behind. He comes closer and
Haider,,Ghazala,female,Ghazala’s face is distorted now because of the force of the
Haider,,Khurram,male,house that fateful day... Khurram was an informant
Haider,,Ghazala,female,Ghazala throws up violently in the wash basin. She stops
Haider,,Ghazala,female,Ghazala looks at the ringing telephone. She looks around to
Haider,,Ghazala,female,Ghazala speaks to him but her voice-over from the next
Haider,,Haider,male,They both sit on the burnt wooden staircase. Haider looks
Haider,,Haider,male,Haider pulls her face to look at him.
Haider,,Ghazala,female,Haider gets up to leave. Ghazala whispers from behind.
Haider,,Haider,male,Haider looks at her with questioning eyes.
Haider,,Ghazala,female,holding the pistol at Ghazala’s forehead. He stumbles behind
Haider,,Ghazala,female,"death. Ghazala stands at a corner, Khurram comes from"
Haider,,Haider,male,"knowing everything, you went to meet Haider…"
Haider,,Haider,male,behind my back… Haider has gone to the other
Haider,,Ghazala,female,"side, Ghazala… he is a blood-thirsty wolf now…"
Haider,,Ghazala,female,Ghazala looks into his eyes straight.
Haider,,Ghazala,female,"My love is not a lie, Ghazala."
Haider,,Ghazala,female,He walks to Liyaqat and hugs him. His eyes meet Ghazala’s.
Haider,,Ghazala,female,Ghazala’s face goes pale. Liyaqat cries on his shoulder like
Haider,,Ghazala,female,lying on the ﬂoor next to her. Ghazala comes from behind
Haider,,Ghazala,female,"Arshia keeps humming, oblivious to Ghazala’s presence."
Haider,,Ghazala,female,Ghazala sees a photograph of Haider and Arshia kept in
Haider,,Ghazala,female,Ghazala looks at the name written over it - ‘Roohdaar’ -
Haider,,Mohsin,male,"him in three adjacent graves are two other old men, Mohsin"
Haider,,Ali,male,"and Ali, and a young boy, Akram, twelve."
Haider,,Ali,male,He nods in the negative. Ali brings the water in an earthen pot.
Haider,,Alexander,male,"vessels, pots and toys... Whether it’s Alexander or"
Haider,,Alexander,male,tea from... could be made of Alexander’s body...
Haider,,Haider,male,Haider looks at him and smiles sadly.
Haider,,Haider,male,Haider wakes up to the sounds of chants. At the window
Haider,,Haider,male,Haider still looking out of the window.
Haider,,Haider,male,He points out to Liyaqat at a distance. Haider is surprised
Haider,,Haider,male,The maulvi begins the ritual. Haider comes in trudging from
Haider,,Haider,male,"He trembles with anger as Haider holds her dead body,"
Haider,,Haider,male,violently kicks Haider. He falls away on the ground.
Haider,,Haider,male,Liyaqat kicks Haider repeatedly as he tries to reach Arshia.
Haider,,Haider,male,hitting Haider who is not ready to leave Arshia’s body.
Haider,,Haider,male,picks up a shovel and hits Haider hard on the back of his
Haider,,Akram,male,"Outside the compound, the gravedigger is with Akram,"
Haider,,Akram,male,The gravedigger turns to see him as Akram’s bus drives
Haider,,Haider,male,A bloodied Haider crawls on the ground towards the grave.
Haider,,Haider,male,"A tombstone lies near the dug-up grave, Haider grabs it and"
Haider,,Haider,male,A weak and bloodied Haider gets up and walks towards the
Haider,,Ali,male,Ali unbolts a wooden plank and pulls out thick covers to
Haider,,Haider,male,"telephone. Behind, Haider sits with Arshia’s body in his"
Haider,,Mohsin,male,"Down below, Mohsin and Ali are loading their old Fiat car"
Haider,,Ali,male,ﬂoor window. Ali is behind the gun aiming at the  two dead
Haider,,Haider,male,All the while Haider holds Arshia’s body and softly reads a
Haider,,Ali,male,"place where Ali was ﬁring from. As Ali opens the window,"
Haider,,Ali,male,the two Ikhwaan soldiers shower bullets. Ali screams and
Haider,,Haider,male,Haider notices the two soldiers coming closer. He quickly
Haider,,Mohsin,male,"Ikhwaanis try to move towards the structure, Mohsin and"
Haider,,Haider,male,Haider both ﬁre bullets from different vantage points inside
Haider,,Haider,male,interior. Haider holds Arshia’s body tightly in his arms and
Haider,,Ghazala,female,A soldier escorts Ghazala to Khurram.
Haider,,Ghazala,female,to see Ghazala standing near one of the jeeps holding the
Haider,,Ghazala,female,keep a close watch as Ghazala walks towards the structure.
Haider,,Akram,male,Ghazala walks in. Dead bodies of the young Akram and the
Haider,,Haider,male,"Haider makes his way down from the staircase, the AK47"
Haider,,Ghazala,female,"slung across his shoulder. Ghazala looks at him, his face and"
Haider,,Ghazala,female,Ghazala smiles through her tears. She unties her head scarf
Haider,,Haider,male,and begins to drop it at his feet. Haider holds her hand and
Haider,,Ghazala,female,"He stops, his back faces Ghazala."
Haider,,Ghazala,female,"Waiting outside, Khurram is on edge. Finally Ghazala walks"
Haider,,Haider,male,Khurram’s eyes dart towards the house. Haider comes out
Haider,,Haider,male,"by his hair, Haider pulls him up, places the gun on his eyes."
Haider,,Haider,male,as Haider tightens his grip. A beat. His mother’s message
Haider,,Haider,male,"of what just happened as Haider limps away slowly, leaving"
Haider,,Haider,male,Haider! I want to die... Avenge yourself... Kill me...
Haider,,Haider,male,"Smiling he opens his arms, Haider falls into his embrace.)"
Highway,,Veera,female,cover. It is the bride to be. Her name is Veera. She comes to a waiting car and sits in
Highway,,Vinay,male,excitement. A man named Vinay has come to pick her up.
Highway,,Veera,female,"Veera, I think tum vaapas chali jao. Abhi tak kisi ne dekha nahin hai"
Highway,,Vinay,male,Vinay yaar I want to breathe... Ye rasam-rivaaj aur aaiye ji namaste
Highway,,Vinay,male,"Vinay shakes his head, starts the car."
Highway,,Veera,female,"Inside, Veera is feeling much better."
Highway,,Veera,female,Veera ye raasta safe nahin hai
Highway,,Veera,female,He honks. Veera opens the door and gets out of the car.
Highway,,Veera,female,"Veera is already out, he looks at her, annoyed. She comes in front of the car"
Highway,,Veera,female,Veera turns in shock towards the petrol pump cabin.
Highway,,Veera,female,The men rush out. Veera is in their way. Faces of the men are covered with
Highway,,Veera,female,Veera screams in pain. Something hot hits her temple. It is a gun.
Highway,,Veera,female,"Two guards have rushed in with guns, but now look tentatively in Veera’s"
Highway,,Veera,female,The man holding Veera fires a shot towards the cabin. A glass shatters. Those
Highway,,Veera,female,men brace. The gun is brought back to Veera’s temple. Veera screams.
Highway,,Veera,female,"Veera feels her arm is going to come off the socket, it is being pulled so hard."
Highway,,Vinay,male,bonnet of Vinay’s car. The gun is on her temple. She looks at Vinay. Vinay has not
Highway,,Veera,female,moved. Veera is looking at Vinay.
Highway,,Veera,female,Then Veera is lifted from the bonnet and pushed towards the rear of the car.
Highway,,Veera,female,Two others get in the rear after Veera.
Highway,,Veera,female,"Veera is sitting squashed in the darkness, unable to fully comprehend what is"
Highway,,Veera,female,"The car suddenly takes off amidst more threats and abuses. Veera panics, but"
Highway,,Veera,female,"front. Someone squeezes Veera in the darkness, she grimaces."
Highway,,Veera,female,"Veera is choking, yelping. She can barely see anything inside the car. She"
Highway,,Veera,female,"Veera is transfixed as the men rush out of the car. She sits there, heaving,"
Highway,,Veera,female,The two leave her. Veera stares at this man. This is Mahabir Bhaati. He looks
Highway,,Veera,female,her into the path between the crops. Some torches are on. Veera is rushed down the
Highway,,Marshall,male,"A Marshall jeep is parked in the darkness. Someone is standing there, shining"
Highway,,Veera,female,Mahabir and the others emerge from the crops. Veera is faintly by now. The
Highway,,Veera,female,Veera looks up. The back door of the jeep opens.  She is now going to be
Highway,,Veera,female,Another man holds her to take her in. Veera suddenly grunts and shrieks and
Highway,,Veera,female,"her. Veera pushes desperately. If she does not manage to get away now, if she is"
Highway,,Veera,female,"hoisted into that darkness, her life as she knows it is over. Veera struggles with all her"
Highway,,Marshall,male,Intriguing atmosphere of night. The Marshall jeep is seen driving.
Highway,,Veera,female,"Music fades out as we find Veera in the yard. She lies dumped on the floor,"
Highway,,Veera,female,Door of the room opens. Veera’s eyes open. Panic returns to her as she sees
Highway,,Hain,male,Itti baddi odi gaadi mein kaun chale ae...? Hain...?
Highway,,Ram ke...,male,"jodo Ram ke... Aur chhe maheene, saal talak mud ke Dilli ki ore munh"
Highway,,Teri,female,Teri gaande... phat te huye dekh ra oon.
Highway,,Veera,female,Veera’s face as she is being woken up tenderly by someone.
Highway,,Veera,female,"Veera opens her eyes, bleary, looks."
Highway,,Veera,female,"Aadoo quickly grabs a few bags and things. Veera looks, rises."
Highway,,Veera,female,"They hurry with Veera, Mahabir turns to the old man."
Highway,,Veera,female,"Outside, in the lane, Veera is led to the Marshall jeep and made to sit."
Highway,,Veera,female,Mahabir shuts the door of the jeep and rushes to the tempo where Veera is
