script,year,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Haider,,Haider,male,"He urges Haider on to ﬁnish the poem, the boy thinks hard.",occupation_gap,"Haider works diligently on the poem, encouraged by his mentor.",3,"Haider works diligently on the poem, encouraged by his mentor.",1
Haider,,Ghazala,female,"a photo of Hilaal, Ghazala and Haider.",relationship_only,"a photo of Hilaal, Ghazala, and Haider, all of whom are pursuing their individual goals and aspirations.",2,"a photo of Hilaal, Ghazala, and Haider, all of whom are pursuing their individual goals and aspirations.",2
Haider,,Haider,male,Haider is crying in Arshia’s arms. She comforts him. He,relationship_only,"Haider is crying in Arshia’s arms. She comforts him, and he takes a deep breath, determined to face his problems head-on.",2,"Haider is crying in Arshia’s arms. She comforts him, and he takes a deep breath, determined to face his problems head-on.",2
Haider,,Haider,male,Haider and Arshia still in each other’s arms.,relationship_only,"Haider and Arshia continue to be close, but they also have their own individual goals and aspirations.",2,"Haider and Arshia continue to be close, but they also have their own individual goals and aspirations.",2
Haider,,Haider,male,Liyaqat angrily walks up to them and pushes Haider hard;,agency_gap,Liyaqat confronts Haider and expresses his concerns.,3,Liyaqat confronts Haider and expresses his concerns.,1
Haider,,Haider,male,"Before he can ﬁnish his sentence, Haider pushes him back.",occupation_gap,Haider interrupts him.,3,Haider interrupts him.,1
Haider,,Haider,male,towards Haider like an animal. Arshia comes in the middle.,agency_gap,Haider is approached like an animal by Arshia.,3,Haider is approached like an animal by Arshia.,1
Haider,,Haider,male,Liyaqat looks at Haider and then Arshia. A beat. He,occupation_gap,Liyaqat looks at Haider and then Arshia. He realizes that he has been judging them based on their gender and decides to treat them equally.,3,Liyaqat looks at Haider and then Arshia. He realizes that he has been judging them based on their gender and decides to treat them equally.,1
Haider,,Haider,male,Alright… but you have to stop seeing Haider.,agency_gap,Alright… but I want you to communicate openly with Haider about your feelings and work together to find a solution that respects both of your needs.,3,Alright… but I want you to communicate openly with Haider about your feelings and work together to find a solution that respects both of your needs.,1
Haider,,Haider,male,with Haider… but you can't be in love with him..,relationship_only,"Haider is a complex character with his own goals and aspirations, and while he may not be the right person for everyone, it's important to respect his agency and autonomy in his",2,"Haider is a complex character with his own goals and aspirations, and while he may not be the right person for everyone, it's important to respect his agency and autonomy in his",2
Haider,,Haider,male,the corridor. A face Haider recognizes and knows well. The,occupation_gap,Haider recognizes and knows well the face in the corridor.,3,Haider recognizes and knows well the face in the corridor.,1
Haider,,Ghazala,female,Ghazala shakes her head to say no. Khurram presses her,agency_gap,"Ghazala confidently declines Khurram's proposal, asserting her right to make her own choices.",3,"Ghazala confidently declines Khurram's proposal, asserting her right to make her own choices.",1
Haider,,Ghazala,female,Ghazala picks up her cup and starts to sing while blowing,appearance_focus,"Ghazala confidently sings into her cup, showcasing her talent",2,"Ghazala confidently sings into her cup, showcasing her talent",2
Haider,,Ghazala,female,sweetness of the local folk dance. Ghazala is amused and,appearance_focus,Ghazala watches the local folk dance with interest and,2,Ghazala watches the local folk dance with interest and,2
Haider,,Ghazala,female,"Ghazala casually turns with a smile, still humming. She stops,",appearance_focus,"Ghazala pauses, humming a tune as she turns to face the camera.",2,"Ghazala pauses, humming a tune as she turns to face the camera.",2
Haider,,Haider,male,seeing Haider. She suddenly becomes pale and whispers to,relationship_only,"Haider's appearance causes her to feel uneasy, and she whispers to",2,"Haider's appearance causes her to feel uneasy, and she whispers to",2
Haider,,Haider,male,to see Haider standing behind. He gets up trying to gather,occupation_gap,"Haider stands up, trying to gather his thoughts.",3,"Haider stands up, trying to gather his thoughts.",1
Haider,,Ghazala,female,past him towards his mother. A beat. Ghazala tries to behave,relationship_only,"Ghazala approaches her mother, trying to maintain a calm demeanor.",2,"Ghazala approaches her mother, trying to maintain a calm demeanor.",2
Haider,,Ghazala,female,keeps looking at her silently. Ghazala pats her forehead.,relationship_only,Ghazala notices her friend's discomfort and gently pats her forehead.,2,Ghazala notices her friend's discomfort and gently pats her forehead.,2
Haider,,Haider,male,Haider is silent. Her voice starts to shake.,relationship_only,"Haider is silent, but she's not afraid to speak up.",2,"Haider is silent, but she's not afraid to speak up.",2
Haider,,Ghazala,female,Haider whispers to Ghazala who still holds her.,relationship_only,"Haider confides in Ghazala, who listens intently.",2,"Haider confides in Ghazala, who listens intently.",2
Haider,,Haider,male,Haider raises his voice a bit.,occupation_gap,Haider speaks up with conviction.,3,Haider speaks up with conviction.,1
Haider,,Ghazala,female,Ghazala suddenly slaps him hard. A beat. Haider turns and,agency_gap,"Ghazala confronts Haider, demanding answers. Haider turns and",3,"Ghazala confronts Haider, demanding answers. Haider turns and",1
Haider,,Ghazala,female,walks out towards the exit. Ghazala follows.,relationship_only,Ghazala walks out towards the exit.,2,Ghazala walks out towards the exit.,2
Haider,,Haider,male,Haider... I will explain everything to you...,relationship_only,"Haider, I'll explain everything to you, but you should also listen carefully and ask questions if you need clarification.",2,"Haider, I'll explain everything to you, but you should also listen carefully and ask questions if you need clarification.",2
Haider,,Haider,male,Haider opens the main door and walks out.,occupation_gap,Haider opens the door and steps out.,3,Haider opens the door and steps out.,1
Haider,,Haider,male,Haider... Come back... It is time for curfew now.,occupation_gap,"Haider, it's time for you to come home. You have been out late.",3,"Haider, it's time for you to come home. You have been out late.",1
Haider,,Salman Khan,male,"same song play, in which Salman Khan, sporting a mullet",appearance_focus,"Salman Khan, with his ambition to make a statement, sported a mullet.",2,"Salman Khan, with his ambition to make a statement, sported a mullet.",2
Haider,,Salman,male,Hello! Who do you want to speak to? Salman?,occupation_gap,Hello! Who do you want to speak to? Salman or his assistant?,3,Hello! Who do you want to speak to? Salman or his assistant?,1
Haider,,Salman 2,male,"He passes the receiver to Salman 2, who’s still dancing.",occupation_gap,Salman 2 continues dancing as he receives the phone from the other man.,3,Salman 2 continues dancing as he receives the phone from the other man.,1
Haider,,Salman,male,As the song on TV reaches its crescendo. Salman 1 takes the,occupation_gap,"As the song on TV reaches its crescendo, Salman 1 takes the stage to perform.",3,"As the song on TV reaches its crescendo, Salman 1 takes the stage to perform.",1
Haider,,Salman,male,Salmans vigorously tear off their vests as does the Salman,occupation_gap,"Salman removes their vests with determination, just like the Salman.",3,"Salman removes their vests with determination, just like the Salman.",1
Haider,,Salman,male,Who am I? I am Salman. The person you spoke,occupation_gap,"Who am I? I am Salman, a person with ambition and agency, just like any other.",3,"Who am I? I am Salman, a person with ambition and agency, just like any other.",1
Haider,,Salman,male,to earlier was also Salman. And will you take the,occupation_gap,"Salman was also earlier, and he will take the",3,"Salman was also earlier, and he will take the",1
Haider,,Salman 2,male,Salman 2 snatches the receiver from him.,occupation_gap,The lead character is a successful lawyer.,3,The lead character is a successful lawyer.,1
Haider,,Haider Meer,male,"Hello sir... Sorry sir. Haider Meer. Yes, I know him",occupation_gap,"Hello. I'm Haider Meer. Yes, I know him.",3,"Hello. I'm Haider Meer. Yes, I know him.",1
Haider,,Haider,male,sticking out of the vehicle calls out to Haider.,occupation_gap,Haider notices someone outside the car.,3,Haider notices someone outside the car.,1
Haider,,Haider,male,Haider pulls out his ID from his wallet as he spreads his,occupation_gap,"Haider reaches into his wallet and pulls out his ID, confidently displaying it as he spreads his arms.",3,"Haider reaches into his wallet and pulls out his ID, confidently displaying it as he spreads his arms.",1
Haider,,Haider,male,on a motorcycle. They see Haider being frisked and ride up,occupation_gap,Haider is riding a motorcycle when they see him being frisked and ride up to help,3,Haider is riding a motorcycle when they see him being frisked and ride up to help,1
Haider,,Salman 2,male,Salman 2 gets off the bike and puts his hand over Haider’s,occupation_gap,"Salman 2 reaches out to Haider, and they share a moment of understanding.",3,"Salman 2 reaches out to Haider, and they share a moment of understanding.",1
Haider,,Haider,male,Haider... How are you? When did you get back?,occupation_gap,"Haider, it's great to see you again. How was your trip?",3,"Haider, it's great to see you again. How was your trip?",1
Haider,,Haider,male,The jawan returns the ID card to Haider.,occupation_gap,Haider retrieves his ID card from the jawan.,3,Haider retrieves his ID card from the jawan.,1
Haider,,Salman,male,Salman grabs Haider and takes him towards the bike. Haider,occupation_gap,Salman offers to help Haider get on the bike.,3,Salman offers to help Haider get on the bike.,1
Haider,,Salman Khan,male,Salman Khan ﬁlm. The room is full of smoke of a Kashmiri,occupation_gap,"The room is full of smoke, and Salman Khan is in it.",3,"The room is full of smoke, and Salman Khan is in it.",1
Haider,,Haider,male,"Haider smokes, exhales hard, seems to choke, then smokes",occupation_gap,"Haider takes a deep drag on his cigarette, then exhales, appearing to struggle for breath.",3,"Haider takes a deep drag on his cigarette, then exhales, appearing to struggle for breath.",1
Haider,,Salman 2,male,Salman 2 shakes his head in agreement as Haider hits ‘play’,occupation_gap,Salman nods in agreement as Haider starts the video.,3,Salman nods in agreement as Haider starts the video.,1
Haider,,Mehdi Hassan’s ‘Gulon,male,on a cassette player on the side. Mehdi Hassan’s ‘Gulon mei,occupation_gap,Mehdi Hassan’s ‘Gulon mein’ plays on a cassette player on the side.,3,Mehdi Hassan’s ‘Gulon mein’ plays on a cassette player on the side.,1
Haider,,Ghazala,female,A cold autumn morning. Ghazala stands in the balcony,appearance_focus,"Ghazala gazes out from the balcony, contemplating her next steps",2,"Ghazala gazes out from the balcony, contemplating her next steps",2
Haider,,Ghazala,female,Ghazala opens the newspaper. The headline on the front,occupation_gap,Ghazala reads the newspaper and sees the headline on the front page.,3,Ghazala reads the newspaper and sees the headline on the front page.,1
Haider,,Ghazala,female,Ghazala scratches the back of her palm with her ﬁngernail.,appearance_focus,Ghazala absentmindedly runs her hand down her arm.,2,Ghazala absentmindedly runs her hand down her arm.,2
Haider,,Ghazala,female,Ghazala turns around and cuts him in the middle.,agency_gap,Ghazala turns around and cuts him off.,3,Ghazala turns around and cuts him off.,1
Haider,,Haider,male,Haider takes out some photocopied papers from his bag.,occupation_gap,Haider pulls out some photocopied papers from his bag.,3,Haider pulls out some photocopied papers from his bag.,1
Haider,,Haider,male,"Haider is shocked, he angrily gets up and storms out.",occupation_gap,"Haider is shocked, but he takes a deep breath and decides to handle the situation calmly.",3,"Haider is shocked, but he takes a deep breath and decides to handle the situation calmly.",1
Haider,,Haider,male,Haider is at a shop with a photograph of Hilaal. It’s the one,occupation_gap,Haider is at a shop looking for a photograph of Hilaal. He finds the one he needs.,3,Haider is at a shop looking for a photograph of Hilaal. He finds the one he needs.,1
Haider,,Haider,male,"photographs, he is stone-faced. Haider is last in line. The",occupation_gap,"Haider is the last in line, but he's not afraid to show his emotions through photographs.",3,"Haider is the last in line, but he's not afraid to show his emotions through photographs.",1
Haider,,Haider,male,Haider stares at the photograph. An old woman sitting,occupation_gap,Haider examines the photograph. An elderly woman sits nearby.,3,Haider examines the photograph. An elderly woman sits nearby.,1
Haider,,Haider,male,in a bunker order him to stop. Haider is cold and doesn’t,occupation_gap,"Haider refuses to stop, even when ordered to do so by someone in a bunker.",3,"Haider refuses to stop, even when ordered to do so by someone in a bunker.",1
Haider,,Haider,male,"pointed, alarmed.  Haider raises his arms as he is pinned to",agency_gap,Haider raises his arms in protest as he is pinned to the ground.,3,Haider raises his arms in protest as he is pinned to the ground.,1
Haider,,Haider,male,A distraught Haider and Arshia sit on the banks of a lake.,occupation_gap,"Haider and Arshia sit on the banks of a lake, contemplating their next steps.",3,"Haider and Arshia sit on the banks of a lake, contemplating their next steps.",1
Haider,,Haider,male,Two men push a long wooden boat into the river. Haider is,occupation_gap,Haider and his friend push a long wooden boat into the river.,3,Haider and his friend push a long wooden boat into the river.,1
Haider,,Haider,male,Haider pins up a photo of Hilaal on the wall.,occupation_gap,Haider places a photo of Hilaal on the wall.,3,Haider places a photo of Hilaal on the wall.,1
Haider,,Haider,male,"the dark bedroom. Haider watches it silently, Arshia sitting",occupation_gap,"Haider and Arshia sit in the dark bedroom, silently observing each other.",3,"Haider and Arshia sit in the dark bedroom, silently observing each other.",1
Haider,,Haider,male,An irritated look on Haider’s face.,occupation_gap,She had chosen a career in nursing,3,She had chosen a career in nursing,1
Haider,,Ghazala,female,"Ghazala lies on the bed, her eyes closed. A knock on the",appearance_focus,"Ghazala is lying on the bed, her eyes closed. Suddenly, a knock on the door interrupts her thoughts.",2,"Ghazala is lying on the bed, her eyes closed. Suddenly, a knock on the door interrupts her thoughts.",2
Haider,,Ghazala,female,Ghazala smiles through her dry lips.,appearance_focus,Ghazala maintains a composed expression despite her dry lips.,2,Ghazala maintains a composed expression despite her dry lips.,2
Haider,,Haider,male,The door opens. Khurram bows and steps aside. Haider,occupation_gap,Haider approaches the door. Khurram bows and steps aside.,3,Haider approaches the door. Khurram bows and steps aside.,1
Haider,,Ghazala,female,Ghazala stops eating and looks at him.,appearance_focus,"Ghazala stops eating, lost in thought as she gazes at him.",2,"Ghazala stops eating, lost in thought as she gazes at him.",2
Haider,,Ghazala,female,Ghazala is in Haider’s room cleaning up. She gathers some,occupation_gap,"Ghazala is in Haider’s room, tidying up and organizing things.",3,"Ghazala is in Haider’s room, tidying up and organizing things.",1
Haider,,Haider,male,"Haider, age sixteen, being scolded by Ghazala who is",occupation_gap,"Haider, age sixteen, is scolded by Ghazala, who is a strong and independent woman.",3,"Haider, age sixteen, is scolded by Ghazala, who is a strong and independent woman.",1
Haider,,Haider,male,She slaps him hard. Haider is fuming. She holds him by his,agency_gap,Haider is fuming after she slaps him hard. She holds him by his arm.,3,Haider is fuming after she slaps him hard. She holds him by his arm.,1
Haider,,Ghazala,female,Ghazala is shocked. Tears form in her eyes as Haider leaves,relationship_only,"Ghazala is surprised and hurt when Haider leaves, but she finds the strength to move on and pursue her own dreams.",2,"Ghazala is surprised and hurt when Haider leaves, but she finds the strength to move on and pursue her own dreams.",2
Haider,,Haider,male,Haider is quiet. She unties the scarf from her head and puts,relationship_only,Haider unties the scarf from her head and puts it aside.,2,Haider unties the scarf from her head and puts it aside.,2
Haider,,Ghazala,female,He suddenly runs out of the house. Ghazala sees him running,occupation_gap,Ghazala sees him running out of the house.,3,Ghazala sees him running out of the house.,1
Haider,,Ghazala,female,Ghazala rings the bell at the same bungalow which we have,relationship_only,Ghazala rings the bell at the same bungalow as us,2,Ghazala rings the bell at the same bungalow as us,2
Haider,,Hussain Meer,male,which reads as ‘Dr Hussain Meer’.,occupation_gap,"Dr. Hussain Meer, a brilliant scientist with a passion for discovering new technologies.",3,"Dr. Hussain Meer, a brilliant scientist with a passion for discovering new technologies.",1
Haider,,Khurram,male,A young Khurram opens the door. Tears are still rolling off,relationship_only,"Khurram opens the door, wiping away tears.",2,"Khurram opens the door, wiping away tears.",2
Haider,,Ghazala,female,"The gun is unwrapped from Ghazala’s scarf by an old man,",occupation_gap,Ghazala unwraps the gun from her scarf with the help of an old man.,3,Ghazala unwraps the gun from her scarf with the help of an old man.,1
Haider,,Ghazala,female,Ghazala’s father-in-law Dr Hussain Meer. Ghazala is seated,relationship_only,"Ghazala is seated next to her father-in-law, Dr Hussain Meer.",2,"Ghazala is seated next to her father-in-law, Dr Hussain Meer.",2
Haider,,Ghazala,female,Khurram turns and gives the cup to Ghazala.,occupation_gap,Khurram hands the cup to Ghazala.,3,Khurram hands the cup to Ghazala.,1
Haider,,Khurram,male,"And why is that, Mister Khurram?",occupation_gap,"What's your motivation for this decision, Mister Khurram?",3,"What's your motivation for this decision, Mister Khurram?",1
Haider,,Hussain,male,Dr Hussain enters the room and looks at Ikhlaakh and,occupation_gap,Ikhlaakh enters the room and looks at Dr Hussain.,3,Ikhlaakh enters the room and looks at Dr Hussain.,1
Haider,,Zahoor,male,Commander Zahoor… Good thing I ran in to,occupation_gap,"Commander Zahoor, I happened to come across",3,"Commander Zahoor, I happened to come across",1
Haider,,Haider,male,A young Haider screams as Ghazala and Hilaal look on.,relationship_only,Haider screams as Ghazala and Hilaal look on.,2,Haider screams as Ghazala and Hilaal look on.,2
Haider,,Ghazala,female,He looks at Ghazala and whispers.,appearance_focus,Ghazala catches his eye and he whispers.,2,Ghazala catches his eye and he whispers.,2
Haider,,Ghazala,female,Haider storms out of the house. Ghazala looks at Hilaal.,occupation_gap,"Haider storms out of the house, frustrated with the lack of equality in their relationship. Ghazala looks at Hilaal, who is determined to fight for their rights.",3,"Haider storms out of the house, frustrated with the lack of equality in their relationship. Ghazala looks at Hilaal, who is determined to fight for their rights.",1
Haider,,Haider,male,A game of cricket at the village square between Haider,occupation_gap,Haider and his team play a game of cricket at the village square.,3,Haider and his team play a game of cricket at the village square.,1
Haider,,Haider,male,Haider and faces him. She takes out a pistol from inside,occupation_gap,Haider confronts her and she pulls out a pistol.,3,Haider confronts her and she pulls out a pistol.,1
Haider,,Haider,male,bag. Haider is stunned. She puts it on her temple.,appearance_focus,Haider is stunned. He reaches for the bag and puts it on his temple.,2,Haider is stunned. He reaches for the bag and puts it on his temple.,2
Haider,,Ghazala,female,Ghazala screams aloud as tears roll off her cheeks.,appearance_focus,Ghazala's voice rises in anger as tears stream down her face.,2,Ghazala's voice rises in anger as tears stream down her face.,2
Haider,,Ghazala,female,"Ghazala and Haider walk amongst fallen chinar leaves,",appearance_focus,Ghazala and Haider stroll through the rustling chinar trees.,2,Ghazala and Haider stroll through the rustling chinar trees.,2
Haider,,Zahoor,male,We see Zahoor delivering a ﬁery speech to a small gathering,occupation_gap,Zahoor passionately addresses the group with conviction,3,Zahoor passionately addresses the group with conviction,1
Haider,,Ghazala,female,Ghazala is watching news on Doordarshan. A newsreader,occupation_gap,Ghazala is watching the news on Doordarshan. She's interested in the latest developments.,3,Ghazala is watching the news on Doordarshan. She's interested in the latest developments.,1
Haider,,Salman,male,Salman and Salman break out into a huge cheer. Khurram is,occupation_gap,"Salman and Salman break out into a huge cheer, excited to pursue their dreams and overcome any obstacles they may face.",3,"Salman and Salman break out into a huge cheer, excited to pursue their dreams and overcome any obstacles they may face.",1
Haider,,Ghazala,female,"Khurram and Ghazala sit on a sofa, amongst other",occupation_gap,"Khurram and Ghazala sit on a sofa, discussing their shared ambitions and goals.",3,"Khurram and Ghazala sit on a sofa, discussing their shared ambitions and goals.",1
Haider,,Ghazala,female,Ghazala beams with happiness and keeps looking stealthily,appearance_focus,Ghazala smiles confidently and continues to observe,2,Ghazala smiles confidently and continues to observe,2
Haider,,Haider,male,But I do... A message for Haider from his father.,occupation_gap,Haider receives a message from his father.,3,Haider receives a message from his father.,1
Haider,,Haider,male,A message for Haider shall be delivered,occupation_gap,Haider receives a message,3,Haider receives a message,1
Haider,,Haider,male,"they vanish into thin air?’ Haider is amongst the crowd, he",occupation_gap,"Haider disappears into the crowd, but he's not just another face.",3,"Haider disappears into the crowd, but he's not just another face.",1
Haider,,Haider,male,"Haider looks at her but keeps shouting the slogan,",occupation_gap,Haider looks at her and shouts the slogan.,3,Haider looks at her and shouts the slogan.,1
Haider,,Salman,male,aggressively. Salman and Salman look on curiously.,agency_gap,Salman and Salman look on with curiosity.,3,Salman and Salman look on with curiosity.,1
Haider,,Haider,male,Haider suddenly stops and looks at Arshia. Salman &,occupation_gap,Haider pauses and turns to Arshia. He notices Salman and,3,Haider pauses and turns to Arshia. He notices Salman and,1
Haider,,Salman,male,Salman get even more curious and alarmed.,occupation_gap,Salman becomes increasingly curious and alarmed.,3,Salman becomes increasingly curious and alarmed.,1
Haider,,Haider,male,"Inside the booth, Haider dials the number. The phone rings",occupation_gap,Haider dials the number and waits for the call.,3,Haider dials the number and waits for the call.,1
Haider,,Haider,male,Haider looks at Arshia. A beat.,occupation_gap,"Haider looks at Arshia, who is determined to make a name for herself in the male-dominated field.",3,"Haider looks at Arshia, who is determined to make a name for herself in the male-dominated field.",1
Haider,,Haider,male,"gesturing to be followed. Haider opens the door of the car,",occupation_gap,Haider gestures for the character to follow and opens the car door.,3,Haider gestures for the character to follow and opens the car door.,1
Haider,,Salman,male,clicked. We see Salman and Salman at a distance taking,occupation_gap,"Salman and Salman are seen at a distance, both focused on their respective tasks.",3,"Salman and Salman are seen at a distance, both focused on their respective tasks.",1
Haider,,Haider,male,Haider gets down and crosses the bridge as Arshia watches,occupation_gap,"Haider confidently crosses the bridge, and Arshia watches with admiration",3,"Haider confidently crosses the bridge, and Arshia watches with admiration",1
Haider,,Haider,male,Roohdaar marches forward closely followed by Haider.,occupation_gap,Roohdaar and Haider march forward together.,3,Roohdaar and Haider march forward together.,1
Haider,,Salman,male,"Salman and Salman follow Haider, keeping a safe distance.",occupation_gap,"Salman and Salman keep a safe distance from Haider, respecting his privacy.",3,"Salman and Salman keep a safe distance from Haider, respecting his privacy.",1
Haider,,Salman,male,Salman and Salman see a few young militants with guns,occupation_gap,Salman and Salman encounter a group of young people with weapons,3,Salman and Salman encounter a group of young people with weapons,1
Haider,,Salman,male,Salman and Salman walk faster to catch up. Suddenly,occupation_gap,Salman and Salman run to catch up. Suddenly,3,Salman and Salman run to catch up. Suddenly,1
Haider,,Salman 2,male,Salman 2 hears a song coming out of a TV screen from,occupation_gap,Salman 2 discovers a song playing on a TV screen.,3,Salman 2 discovers a song playing on a TV screen.,1
Haider,,Salman Khan,male,song is from a Salman Khan ﬁlm - ‘Kabootar ja ja ja’. The,occupation_gap,The song 'Kabootar ja ja ja' is from a Salman Khan film.,3,The song 'Kabootar ja ja ja' is from a Salman Khan film.,1
Haider,,Haider,male,"Following Roohdaar, Haider goes deeper into the labyrinth",occupation_gap,"Haider, driven by his curiosity and ambition, explores the labyrinth on his own.",3,"Haider, driven by his curiosity and ambition, explores the labyrinth on his own.",1
